,N,"t, sec","sigma_t, sec","mass, gramm","length, cm","phi, rad"
1,4,268,1,180.0,121.0,0.16
2,4,264,1,180.0,121.0,0.18
3,4,275,1,180.0,121.0,0.16
4,4,263,1,180.0,121.0,0.17
5,4,267,1,180.0,121.0,0.17
6,3,235,1,216.0,108.0,0.17
7,3,226,1,216.0,108.0,0.15
8,3,234,1,216.0,108.0,0.16
9,3,229,1,216.0,108.0,0.16
10,3,230,1,216.0,108.0,0.18
11,6,203,1,614.0,111,0.16
12,6,207,1,614.0,111,0.17
13,6,199,1,614.0,111,0.17
14,6,205,1,614.0,111,0.17
15,6,204,1,614.0,111,0.16
16,3,287,1,142.0,121.0,0.17
17,3,278,1,142.0,121.0,0.16
18,3,282,1,142.0,121.0,0.15
19,3,282,1,142.0,121.0,0.17
20,3,285,1,142.0,121.0,0.14
21,4,175,1,273.0,122.0,0.16
22,4,175,1,273.0,122.0,0.17
23,4,178,1,273.0,122.0,0.16
24,4,173,1,273.0,122.0,0.16
25,4,176,1,273.0,122.0,0.17
26,5,208,1,341.0,110,0.16
27,5,210,1,341.0,110,0.16
28,5,207,1,341.0,110,0.17
29,5,209,1,341.0,110,0.17
30,5,208,1,341.0,110,0.17
